      number        u_st     LFPR_st        f_st        d_st
           1      0.0353      0.0240      0.0181      0.1417
           2      0.0489      0.0349      0.0247      0.1823
           3      0.0808      0.0096      0.0000      0.0806
           4      0.0234      0.0221      0.0203      0.3088
           5      0.0292      0.0245      0.0200      0.2295
           6      0.0512      0.0171      0.0268      0.0931
           7      0.0227      0.0238      0.0369      0.3653
           8      0.0428      0.0257      0.0178      0.1274
           9      0.0473      0.0331      0.0160      0.2095
          10      0.0505      0.0134      0.0226      0.0926
          11      0.0648      0.0179      0.0262      0.0936
          12      0.0567      0.0183      0.0225      0.0946
          13      0.0712      0.0159      0.0209      0.0971
          14      0.0605      0.0259      0.0272      0.1099
          15      0.0234      0.0394      0.0251      0.6620
          16      0.0498      0.0470      0.0333      0.6947
          17      0.0823      0.0077      0.0259      0.0818
          18      0.0652      0.0162      0.0207      0.1018
          19      0.0527      0.0413      0.0232      0.1505
          20      0.1005      0.0116      0.0189      0.0849
          21      0.0751      0.0118      0.0263      0.0871
          22      0.0865      0.0186      0.0304      0.0922
          23      0.0476      0.0189      0.0167      0.1184
          24      0.0498      0.0275      0.0186      0.1238
          25      0.0112      0.0272      0.0212      1.2499
          26      0.0016      0.0210         NaN         NaN
          27      0.0519      0.0283      0.0196      0.1424
          28      0.0546      0.0322      0.0225      0.1291
          29      0.0420      0.0242      0.0221      0.1015
          30      0.0084      0.0223      0.0181      2.0921
          31      0.0110      0.0287      0.0141         NaN
          32      0.0493      0.0128      0.0168      0.0932
          33      0.0139      0.0250      0.0203      0.5656
          34      0.0359      0.0217      0.0144      0.1403
          35      0.0455      0.0241      0.0163      0.1489
          36      0.0259      0.0306      0.0250      0.4166
          37      0.0828      0.0080      0.0030      0.0817
          38      0.0760      0.0057      0.0004      0.0757
          39      0.0544      0.0209      0.0259      0.1017
          40      0.0171      0.0199      0.0241      0.2262
          41      0.0433      0.0163      0.0215      0.0975
          42      0.0111      0.0230      0.0203      0.8467
          43      0.0417      0.0178      0.0208      0.0962
          44      0.0396      0.0222      0.0148      0.1322
          45      0.0625      0.0405      0.0251      0.1779
          46      0.0505      0.0239      0.0242      0.1078
          47      0.0420      0.0293      0.0208      0.2309
          48      0.0072      0.0212      0.0182      2.1710
          49      0.0419      0.0188      0.0237      0.1001
          50      0.0450      0.0317      0.0188      0.1374
          51      0.0105      0.0285      0.0211      1.6842
          52      0.0751      0.0154      0.0298      0.0870
          53      0.0511      0.0236      0.0274      0.0971
          54      0.0123      0.0239      0.0257      0.5530
          55      0.0471      0.0347      0.0201      0.1856
          56      0.0042      0.0280         NaN         NaN
          57      0.0466      0.0912      0.0205      1.8755
          58      0.0587      0.0358      0.0245      0.2148
          59      0.0405      0.0148      0.0211      0.0948
          60      0.0989      0.0084      0.0221      0.0829
          61      0.0017      0.0215         NaN         NaN
          62      0.1191      0.0819      0.0010      0.1011
          63      0.0016      0.0215         NaN         NaN
          64      0.0016      0.0214         NaN         NaN
          65      0.0066      0.0205      0.0205         NaN
          66      0.0913      0.0194      0.0272      0.0951
          67      0.0721      0.0206      0.0227      0.0970
          68      0.0560      0.0186      0.0239      0.0985
          69      0.0009      0.0177         NaN         NaN
          70      0.0341      0.0239      0.0172      0.1476
          71      0.0181      0.0297      0.0257      0.4217
          72      0.0593      0.0237      0.0228      0.1112
          73      0.0348      0.0300      0.0214      0.2439
          74      0.0293      0.0289      0.0214      0.5188
          75      0.0493      0.0227      0.0222      0.1112
          76      0.0627      0.0179      0.0194      0.0995
          77      0.0016      0.0210         NaN         NaN
          78      0.1058      0.0279      0.0252      0.1129
          79      0.0096      0.0219      0.0160         NaN
          80      0.0137      0.0216      0.0250      0.5910
          81      0.0699      0.0095      0.0304      0.0806
          82      0.0007      0.0159         NaN         NaN
          83      0.0677      0.0460      0.0182      0.1348
          84      0.0420      0.0207      0.0205      0.1029
          85      0.0628      0.0202      0.0199      0.1040
          86      0.0112      0.0373      0.0164         NaN
          87      0.0453      0.0339      0.0197      0.1639
          88      0.1069      0.0166      0.0251      0.0915
          89      0.0396      0.0218      0.0189      0.1066
          90      0.0401      0.0231      0.0207      0.1435
          91      0.0480      0.0305      0.0297      0.1604
          92      0.0928      0.0144      0.0349      0.0873
          93      0.0074      0.0211      0.0131         NaN
          94      0.0407      0.0337      0.0223      0.2298
          95      0.0151      0.0402         NaN         NaN
          96      0.0434      0.0182      0.0180      0.1010
          97      0.1440      0.0307      0.0315      0.1126
          98      0.0439      0.0258      0.0195      0.1128
          99      0.0911      0.0177      0.0017      0.0902
         100      0.0430      0.0288      0.0274      0.1520
         101      0.0732      0.0150      0.0300      0.0867
         102      0.0017      0.0218         NaN         NaN
         103      0.0366      0.0263      0.0230      0.1894
         104      0.0110      0.0278      0.0179      1.6451
         105      0.0424      0.0355      0.0303      0.2227
         106      0.0160      0.0227      0.0202      0.4742
         107      0.0250      0.0225      0.0206      0.2241
         108      0.0048      0.0163      0.0117         NaN
         109      0.0309      0.0279      0.0239      0.2375
         110      0.0164      0.0299      0.0256      0.7147
         111      0.0087      0.0246      0.0189      9.9499
         112      0.0488      0.0208      0.0164      0.1161
         113      0.0538      0.0382      0.0224      0.1696
         114      0.0489      0.0291      0.0185      0.1287
         115      0.0263      0.0324      0.0232      0.4319
         116      0.0182      0.0239      0.0202      0.4013
         117      0.0090      0.0216      0.0241      1.3349
         118      0.0418      0.0235      0.0151      0.1376
         119      0.0731      0.0136      0.0259      0.0882
         120      0.0077      0.0255      0.0245         NaN
         121      0.0057      0.0245      0.0143         NaN
         122      0.0417      0.0237      0.0179      0.1108
         123      0.0054      0.0225      0.0259         NaN
         124      0.0288      0.0325      0.0360      0.3725
         125      0.0348      0.0208      0.0270      0.2197
         126      0.0553      0.0272      0.0234      0.1283
         127      0.0872      0.0133      0.0000      0.0870
         128      0.0852      0.0278      0.0300      0.1225
         129      0.0449      0.0246      0.0209      0.1099
         130      0.0487      0.0252      0.0197      0.1080
         131      0.0391      0.0212      0.0186      0.1117
         132      0.0790      0.0156      0.0221      0.0990
         133      0.0477      0.0270      0.0164      0.1368
         134      0.0919      0.0135      0.0000      0.0914
         135      0.0532      0.0291      0.0232      0.1279
         136      0.0206      0.0234      0.0195      0.3872
         137      0.0058      0.0219      0.0119         NaN
         138      0.0493      0.0354      0.0201      0.1434
         139      0.0477      0.0253      0.0201      0.1193
         140      0.0457      0.0270      0.0213      0.1229
         141      0.0202      0.0192      0.0212      0.2629
         142      0.0080      0.0197      0.0087         NaN
         143      0.0335      0.0251      0.0163      0.1574
         144      0.0784      0.0067      0.0000      0.0777
         145      0.0526      0.0412      0.0263      0.2771
         146      0.0015      0.0208         NaN         NaN
         147      0.0608      0.0140      0.0224      0.0910
         148      0.0017      0.0216         NaN         NaN
         149      0.3271      0.0839      0.1283      0.1826
