      number         u_z      LFPR_z         f_z         d_z
           1     -0.7369      0.7049      0.9066      0.1332
           2     -0.7648      0.7066      0.8830      0.0918
           3      0.0479      0.3811         NaN      0.0603
           4     -0.6818      0.3556      0.9655     -0.0855
           5     -0.8113      0.6945      0.9661     -0.0920
           6     -0.2547      0.6682      0.0378      0.0159
           7     -0.7854      0.6027      0.9392      0.1173
           8     -0.5233      0.6798      0.3542     -0.0167
           9     -0.6345      0.5689      0.8850      0.0033
          10     -0.3229      0.6118      0.0628      0.0487
          11     -0.0383      0.6217     -0.0468      0.0457
          12     -0.7170      0.3768      0.6956      0.0105
          13     -0.3086      0.6801      0.1266     -0.0028
          14     -0.2201      0.6927      0.1165      0.0573
          15     -0.5349      0.2585      0.9180      0.0478
          16      0.6491     -0.6279      0.6620      0.2099
          17     -0.1179      0.5533     -0.0213     -0.0133
          18     -0.6975      0.6616      0.4485      0.0148
          19     -0.6985      0.7089      0.4175      0.0048
          20     -0.0153      0.6270      0.1009      0.0436
          21     -0.1649      0.6033     -0.0059      0.0219
          22      0.0163      0.6429     -0.0277      0.0839
          23     -0.6836      0.6726      0.6213      0.0464
          24     -0.6874      0.6925      0.4895      0.0438
          25     -0.2904      0.0348      0.9581     -0.0996
          26      0.0188      0.0170         NaN         NaN
          27     -0.5016      0.6362      0.3913     -0.0016
          28     -0.5828      0.7348      0.4251      0.0529
          29     -0.6192      0.6898      0.2159     -0.0173
          30     -0.2794      0.0904      0.9905      0.1138
          31      0.1056     -0.0799      0.9953         NaN
          32     -0.6870      0.6426      0.4621     -0.0001
          33     -0.5885      0.1818      0.9933     -0.0595
          34     -0.6659      0.6349      0.8348      0.0607
          35     -0.7948      0.7569      0.8546     -0.0081
          36     -0.6185      0.2212      0.9181     -0.1016
          37      0.0508      0.4646     -0.0101      0.0272
          38      0.0310      0.2875     -0.0318      0.0114
          39     -0.1936      0.6348      0.0180      0.0662
          40     -0.5973      0.4400      0.9722      0.0742
          41     -0.4039      0.6761      0.1145      0.0061
          42     -0.6115      0.2450      0.9895      0.1358
          43     -0.5607      0.6665      0.2297      0.0311
          44     -0.7199      0.7021      0.7898      0.0233
          45     -0.5786      0.6511      0.3545     -0.0339
          46     -0.1078      0.6819      0.0226      0.0833
          47     -0.7908      0.6372      0.8960      0.0110
          48     -0.4249      0.1231      0.9717      0.0464
          49     -0.3416      0.6470      0.0504      0.0066
          50     -0.7533      0.7039      0.7551      0.0482
          51     -0.3408      0.0714      0.9933     -0.0049
          52     -0.0864      0.6442     -0.0203      0.0039
          53     -0.3508      0.6540      0.0570      0.0112
          54     -0.4822      0.1357      0.9531      0.0349
          55     -0.6950      0.6480      0.7769      0.0437
          56     -0.0338     -0.0328         NaN         NaN
          57     -0.2692      0.1267      0.9002     -0.0403
          58     -0.5949      0.6435      0.6853      0.0169
          59     -0.4237      0.6691      0.1130      0.0134
          60     -0.0356      0.5281      0.0492      0.0034
          61     -0.0044     -0.0062         NaN         NaN
          62      0.3833      0.6078      0.1411     -0.1297
          63     -0.0006     -0.0020         NaN         NaN
          64     -0.0018     -0.0033         NaN         NaN
          65     -0.1641      0.0633      0.9878         NaN
          66     -0.2667      0.6370      0.1502     -0.0057
          67     -0.3402      0.7043      0.1411     -0.0099
          68     -0.2562      0.6284      0.0613      0.0484
          69      0.0809      0.0800         NaN         NaN
          70     -0.7551      0.6727      0.9115      0.0163
          71     -0.5334      0.2052      0.9524     -0.0218
          72     -0.4490      0.6812      0.1891     -0.0075
          73     -0.7119      0.5522      0.9270     -0.0165
          74     -0.6807      0.5968      0.8123     -0.0318
          75     -0.3318      0.6967      0.1402      0.0148
          76     -0.5979      0.7006      0.2990     -0.0134
          77      0.0161      0.0144         NaN         NaN
          78     -0.1367      0.6472      0.1937      0.0514
          79     -0.3558      0.1405      0.9924         NaN
          80     -0.0577     -0.0029      0.9826      0.0836
          81     -0.0181      0.5965     -0.1045      0.0465
          82      0.0420      0.0425         NaN         NaN
          83     -0.7028      0.6568      0.4343      0.0476
          84     -0.6684      0.5352      0.6550      0.0530
