      number        b_UI       e_min    lambda_e         psi       kappa     alpha_u     alpha_o    lambda_a    lambda_b     a_shock     b_shock        phi1        phi2        phi3        phi4           a           b         L_N
           1      0.6191      0.5035      1.0100      3.0000      0.5000      4.9439      1.7770      3.0000      7.7888      0.6255      0.2839      7.4766      0.0000      7.5430      0.0000      2.0000      2.5000      1.9618
           2      0.6315      0.5705      1.0485      4.1900      0.2614      3.6785      4.2704      2.8446      9.3374      0.5683      0.5411     13.5522      0.0000     19.0045      0.0000      2.0000      2.3798      0.9368
           3      0.6320      0.5243      1.0381      2.0782      0.0315      1.5230      4.4666      3.4229      6.3533      0.1684      0.1021      7.0018      0.0000     12.4228      0.0000      2.0000      2.7486      2.1360
           4      0.6365      0.5340      1.0344      2.2785      0.7799      4.0872      3.0545      2.1015      5.2016      0.6386      0.2712     17.5118      0.0000      9.8160      0.0000      2.0000      2.4992         NaN
           5      0.6340      0.5097      1.0208      3.6425      0.9240      3.1673      2.0337      2.2791      9.2789      0.4000      0.5493     14.0734      0.0000     14.4692      0.0000      2.0000      2.2600         NaN
           6      0.6091      0.5086      1.0482      3.7905      0.5986      2.7835      3.3895      4.5695      5.7925      0.4367      0.7273      7.6090      0.0000      6.4448      0.0000      2.0000      2.3855      2.4057
           7      0.6483      0.5030      1.0428      4.8185      0.3727      4.8431      2.4370      4.7250      7.6282      0.1792      0.3470     14.5164      0.0000      5.9758      0.0000      2.0000      2.9957         NaN
           8      0.6430      0.5788      1.0396      4.2319      0.3035      3.5533      3.4193      4.8925      7.3660      0.1846      0.3756     18.8845      0.0000     19.5373      0.0000      2.0000      1.5827      2.7403
           9      0.6101      0.5672      1.0151      4.2961      0.0005      1.3025      3.5522      3.8900      6.0345      0.5720      0.1677      5.6345      0.0000     13.0274      0.0000      2.0000      1.5396      2.1096
          10      0.6887      0.5365      1.0032      4.2945      0.9257      2.4269      4.7337      4.9867      9.5266      0.6585      0.5811      6.0270      0.0000     16.7493      0.0000      2.0000      1.7263      1.3681
          11      0.6002      0.5267      1.0330      4.2889      0.5566      2.8716      1.1043      4.4929      9.6557      0.3857      0.2611      5.5879      0.0000      8.5983      0.0000      2.0000      1.5419      2.6922
          12      0.6989      0.5083      1.0427      2.5402      0.9874      2.3009      4.6899      4.4529      9.4683      0.2163      0.1583     13.3173      0.0000     17.5570      0.0000      2.0000      2.7452      2.4530
          13      0.6826      0.5682      1.0049      3.2262      0.0672      1.5436      2.1783      2.8461      9.2776      0.3937      0.1501      7.7998      0.0000     14.2738      0.0000      2.0000      1.8145      2.6797
