      number           U        LFPR         d_m          EN          UN          EE
           1      0.3349      0.3283      0.0249      0.0421      0.6296      0.0132
           2      0.3256      0.2052      0.0266      0.0228      0.7720      0.0088
           3      0.0241      0.7228      0.0257      0.0292      0.2480      0.0881
           4      0.6172      0.1905      0.0313      0.0391      0.7704      0.0077
           5      0.5931      0.2471      0.0306      0.0372      0.7156      0.0083
           6      0.0738      0.5966      0.0254      0.0318      0.3716      0.0633
           7      0.8197      0.2576      0.0228      0.0119      0.7305      0.0023
           8      0.1231      0.3534      0.0251      0.0305      0.6161      0.0156
           9      0.2493      0.1688      0.0251      0.0222      0.8091      0.0063
          10      0.0715      0.6492      0.0251      0.0392      0.3116      0.0259
          11      0.0562      0.5578      0.0256      0.0281      0.4141      0.0442
          12      0.1330      0.6134      0.0254      0.0498      0.3368      0.0277
          13      0.0532      0.5719      0.0249      0.0481      0.3800      0.0439
          14      0.0700      0.4094      0.0251      0.0293      0.5613      0.0141
          15      0.7878      0.0623      0.0237      0.0039      0.9338      0.0008
          16      0.8704      0.1969      0.0317      0.0125      0.7907      0.0024
          17      0.0417      0.7436      0.0251      0.0404      0.2160      0.0480
          18      0.0838      0.5929      0.0251      0.0596      0.3475      0.0494
          19      0.1768      0.2414      0.0262      0.0167      0.7419      0.0111
          20      0.0248      0.6905      0.0257      0.0302      0.2793      0.0316
          21      0.0505      0.6822      0.0252      0.0398      0.2780      0.0309
          22      0.0436      0.5823      0.0257      0.0273      0.3904      0.0463
          23      0.1296      0.4396      0.0248      0.0556      0.5048      0.0163
          24      0.1396      0.3804      0.0253      0.0408      0.5788      0.0224
          25      0.8688      0.1201      0.0136      0.0112      0.8687      0.0020
          26      0.9308      0.1634      0.0000      0.0000      0.8366      0.0000
          27      0.1043      0.2890      0.0260      0.0293      0.6817      0.0125
          28      0.1020      0.3414      0.0254      0.0344      0.6242      0.0330
          29      0.1234      0.4985      0.0249      0.0286      0.4729      0.0334
          30      0.9106      0.1595      0.0114      0.0120      0.8285      0.0022
          31      0.8796      0.1120         NaN      0.0131      0.8749      0.0023
          32      0.1039      0.6234      0.0251      0.0566      0.3200      0.0410
          33      0.8043      0.1407      0.0301      0.0177      0.8416      0.0033
          34      0.2406      0.3235      0.0249      0.0352      0.6413      0.0131
          35      0.2314      0.3605      0.0227      0.0564      0.5832      0.0252
          36      0.6404      0.1014      0.0346      0.0189      0.8797      0.0036
          37      0.0237      0.7425      0.0255      0.0360      0.2215      0.0685
          38      0.0239      0.8127      0.0253      0.0282      0.1591      0.0805
          39      0.0728      0.5015      0.0251      0.0307      0.4678      0.0469
          40      0.6960      0.2596      0.0265      0.0191      0.7213      0.0039
          41      0.0846      0.5842      0.0251      0.0319      0.3839      0.0423
          42      0.8819      0.1595      0.0269      0.0142      0.8262      0.0026
          43      0.1107      0.5863      0.0249      0.0369      0.3768      0.0442
          44      0.2276      0.3528      0.0249      0.0401      0.6071      0.0155
          45      0.1281      0.1815      0.0268      0.0159      0.8026      0.0101
          46      0.0710      0.4220      0.0255      0.0246      0.5534      0.0287
          47      0.3715      0.1899      0.0268      0.0386      0.7716      0.0097
          48      0.9398      0.1698      0.0166      0.0087      0.8215      0.0015
          49      0.0955      0.5323      0.0249      0.0308      0.4369      0.0293
          50      0.2604      0.2899      0.0261      0.0237      0.6864      0.0085
          51      0.8977      0.1126      0.0214      0.0095      0.8780      0.0016
          52      0.0529      0.6279      0.0254      0.0348      0.3374      0.0322
          53      0.0859      0.5755      0.0252      0.0319      0.3927      0.0574
          54      0.8245      0.1460      0.0227      0.0129      0.8411      0.0024
          55      0.2835      0.1825      0.0269      0.0158      0.8017      0.0057
          56      0.8687      0.0861      0.0000      0.0000      0.9139      0.0000
          57      0.8228      0.0123      0.0368      0.0013      0.9863      0.0002
          58      0.1951      0.1397      0.0251      0.0178      0.8426      0.0078
          59      0.0877      0.6059      0.0251      0.0343      0.3598      0.0390
          60      0.0261      0.7374      0.0255      0.0361      0.2265      0.0650
          61      0.9279      0.1567      0.0000      0.0000      0.8433      0.0000
          62      0.0236      0.6552      0.0258      0.0321      0.3127      0.0709
          63      0.9290      0.1593      0.0000      0.0000      0.8407      0.0000
          64      0.9291      0.1595      0.0000      0.0000      0.8405      0.0000
          65      0.9414      0.1740         NaN      0.0101      0.8158      0.0018
          66      0.0500      0.5747      0.0250      0.0432      0.3821      0.0442
          67      0.0565      0.5462      0.0249      0.0473      0.4065      0.0414
          68      0.0686      0.5215      0.0249      0.0346      0.4438      0.0177
          69      0.9512      0.2317      0.0000      0.0000      0.7683      0.0000
          70      0.4202      0.3702      0.0242      0.0434      0.5865      0.0113
          71      0.7354      0.0972      0.0266      0.0084      0.8944      0.0017
          72      0.0746      0.4647      0.0247      0.0416      0.4938      0.0520
          73      0.4818      0.1447      0.0238      0.0181      0.8372      0.0044
          74      0.8197      0.2016      0.0170      0.0119      0.7865      0.0023
          75      0.0797      0.4287      0.0249      0.0303      0.5410      0.0220
          76      0.0793      0.5931      0.0251      0.0590      0.3479      0.0353
          77      0.9310      0.1637      0.0000      0.0000      0.8363      0.0000
          78      0.0413      0.4123      0.0253      0.0361      0.5516      0.0255
          79      0.8859      0.1650         NaN      0.0169      0.8180      0.0031
          80      0.8670      0.1704      0.0366      0.0141      0.8156      0.0027
          81      0.0511      0.7484      0.0254      0.0292      0.2224      0.0865
          82      0.9587      0.2736      0.0000      0.0000      0.7264      0.0000
          83      0.2564      0.3348      0.0264      0.0340      0.6312      0.0178
          84      0.1779      0.4930      0.0254      0.0380      0.4690      0.0288
          85      0.0578      0.4886      0.0247      0.0417      0.4698      0.0325
          86      0.9326      0.0616         NaN      0.0042      0.9342      0.0007
          87      0.2133      0.2437      0.0247      0.0253      0.7309      0.0150
