      number    return_L   w_grow_in  w_grow_out     var_a_b     corr_ab   train_rev     R_D_rev
           1      0.3112      0.0075      0.0024      1.2574     -0.0072      0.0359      0.0000
           2      0.2233      0.0065      0.0032      2.8849     -0.0602      0.0231      0.0000
           3      0.7080      0.0141      0.0134      0.9961      0.2364      0.0332      0.0149
           4      0.1548         NaN      0.0001      1.0996      0.0718      0.0368      0.0005
           5      0.3542         NaN      0.0008      0.9724      0.0487      0.6153      0.0025
           6      0.6272      0.0158      0.0119      0.6753      0.0125      0.0170      0.0003
           7      0.0362         NaN      0.0003      3.1887      0.2174      0.5210      0.0028
           8      0.5382      0.0125      0.0051      0.3117      0.0775      0.0050      0.0078
           9      0.4360      0.0049      0.0011      1.0844     -0.0003      0.0042      0.0526
          10      0.7449      0.0163      0.0063      2.0561      0.0085      0.0005      0.0015
          11      0.6978      0.0194      0.0097      0.3491      0.1329      0.0046      0.0129
          12      0.4608      0.0113      0.0079      0.6224      0.0297      0.0436      0.0005
          13      0.5810      0.0128      0.0058      0.3625      0.1027      0.0154      0.0366
          14      0.6316      0.0139      0.0053      0.6798      0.0203      0.0086      0.0005
          15      0.0913         NaN      0.0001      1.2875     -0.1133      0.4453      0.0015
          16      0.3050         NaN      0.0003      1.3253     -0.0427      0.3311      0.5669
          17      0.6872      0.0159      0.0076      0.9658      0.1039      0.0162      0.0065
          18      0.5141      0.0079      0.0071      0.9314      0.0488      0.0165      0.0002
          19      0.3777      0.0139      0.0103      3.3403      0.1314      0.0870      0.0023
          20      0.7556      0.0171      0.0087      2.0702      0.0218      0.0008      0.0004
          21      0.6428      0.0151      0.0075      0.6000      0.0413      0.0044      0.0009
          22      0.6528      0.0205      0.0086      0.4770      0.2275      0.0250      0.0315
          23      0.5523      0.0072      0.0014      1.5005      0.0622      0.0046      0.0008
          24      0.4044      0.0112      0.0050      1.6760     -0.0369      0.0351      0.0003
          25      0.1923         NaN      0.0000      0.9193     -0.1440      0.0215      0.0001
          26         NaN         NaN         NaN      0.0214     -0.3764      0.0000      0.0000
          27      0.5503      0.0091      0.0034      0.4436     -0.0120      0.0030      0.0112
          28      0.4444      0.0073      0.0074      2.2994     -0.0068      0.0031      0.0000
          29      0.5460      0.0184      0.0110      1.9749      0.0237      0.0439      0.0024
          30      0.1762         NaN      0.0000      0.1153      0.2007      3.5179      0.0089
          31         NaN         NaN      0.0000         NaN         NaN      3.2870      0.0702
          32      0.5257      0.0120      0.0050      0.8629      0.1897      0.0489      0.0200
          33      0.1650         NaN      0.0001      0.8157      0.4476      0.4154      0.0001
          34      0.4729      0.0074      0.0024      0.6584      0.0929      0.0070      0.0538
          35      0.2189      0.0061      0.0035      1.1937     -0.0485      0.1052      0.0000
          36      0.0723         NaN      0.0000      2.4322      0.0897      0.0146      0.0000
          37      0.7443      0.0177      0.0082      0.3748      0.0548      0.0128      0.0054
          38      0.7569      0.0186      0.0112      3.2620      0.0177      0.0261      0.0010
          39      0.6575      0.0165      0.0125      2.9906     -0.0010      0.0085      0.0000
          40      0.0967         NaN      0.0003      1.1046      0.0705      0.1719      0.0002
          41      0.6546      0.0174      0.0088      1.6849     -0.0323      0.0011      0.0054
          42      0.1398         NaN      0.0000      0.3622      0.2797      1.5534      0.0025
          43      0.5456      0.0122      0.0118      1.1723     -0.0517      0.0097      0.0001
          44      0.5508      0.0073      0.0026      0.6269      0.0844      0.0047      0.0471
          45      0.4318      0.0093      0.0076      0.5762     -0.0005      0.0219      0.0000
          46      0.5909      0.0187      0.0090      0.6827     -0.0110      0.0012      0.0170
          47      0.3368         NaN      0.0012      1.2778     -0.0046      0.0155      0.0000
          48      0.3165         NaN      0.0001      0.1602     -0.2858      0.9671      0.0104
          49      0.6608      0.0188      0.0097      1.5431      0.0040      0.0121      0.0003
          50      0.2729      0.0124      0.0048      0.3514      0.1488      0.0546      0.0000
          51      0.2130         NaN      0.0001      0.5784      0.1288      1.6467      0.0189
          52      0.7205      0.0161      0.0085      2.0198      0.0058      0.0059      0.0008
          53      0.5390      0.0133      0.0135      3.6698     -0.0197      0.0888      0.0007
          54      0.3536         NaN      0.0000      0.3081      0.1649      0.0302      0.0001
          55      0.2442      0.0095      0.0039      1.0851      0.0072      0.0130      0.0001
          56         NaN         NaN         NaN      0.5505      0.0673      0.0000      0.0000
          57      0.0927         NaN         NaN      0.6256         NaN      0.1515      0.0000
          58      0.3526      0.0056      0.0037      0.7037     -0.0222      0.0385      0.0005
          59      0.6212      0.0175      0.0099      1.0341      0.0031      0.0051      0.0010
          60      0.6915      0.0161      0.0068      0.3030      0.0050      0.0016      0.0385
          61         NaN         NaN         NaN      0.1000      0.0254      0.0000      0.0000
          62      0.7031      0.0153      0.0113      0.9982     -0.0013      0.0099      0.0009
          63         NaN         NaN         NaN      0.1953      0.0076      0.0000      0.0000
          64         NaN         NaN         NaN      0.0304     -0.3390      0.0000      0.0000
          65         NaN         NaN      0.0000         NaN         NaN     14.1903      1.1648
          66      0.6188      0.0114      0.0113      0.2609      0.1529      0.0129      0.0005
          67      0.5656      0.0137      0.0062      1.5790      0.2361      0.0636      0.0311
          68      0.6385      0.0156      0.0055      0.7503      0.0476      0.0024      0.0011
          69         NaN         NaN         NaN      0.1570      0.0289      0.0000      0.0000
          70      0.2656      0.0079      0.0017      0.6609      0.0296      0.1319      0.0000
          71      0.2440         NaN      0.0002      3.1525      0.0304      0.2282      0.0013
          72      0.4904      0.0092      0.0096      1.4277      0.0004      0.0202      0.0002
          73      0.2193         NaN      0.0008      2.0785      0.1191      0.0533      0.0000
          74      0.0864         NaN      0.0006      3.4695      0.0188      0.9462      0.0051
          75      0.6043      0.0142      0.0068      0.5759      0.0285      0.0033      0.0077
          76      0.4816      0.0101      0.0084      0.2580      0.0685      0.0423      0.0000
          77         NaN         NaN         NaN      0.0026     -0.3080      0.0000      0.0000
          78      0.7290      0.0113      0.0052      0.6739     -0.0039      0.0015      0.0061
          79         NaN         NaN      0.0000         NaN         NaN      1.3335      0.0183
          80      0.2451         NaN      0.0001      6.6296      0.3974      1.0185      0.2697
          81      0.6830      0.0168      0.0139      1.2494      0.0137      0.0091      0.0001
          82         NaN         NaN         NaN      0.0347     -0.3217      0.0000      0.0000
          83      0.4004      0.0083      0.0044      7.5331     -0.0261      0.0059      0.0001
