      number       a_var       b_var       train        R_D1        R_D2    revenues          UI
           1      0.0173      0.0138     48.9926      0.0003      0.0000   1365.9708   -143.8558
           2      0.0131      0.0045     25.7002      0.0000      0.0000   1114.9746    -79.0609
           3      0.0271      0.0273    381.3404    170.4104      0.0000  11469.0249    -20.5887
           4      0.0125      0.0114     11.6091      0.1589      0.0000    315.8923   -133.3439
           5      0.0168      0.0173    208.1176      0.8418      0.0000    338.2108   -169.9634
           6      0.0068      0.0101    138.1814      2.0884      0.0000   8111.2329    -62.0502
           7      0.0201      0.0063    326.9316      1.7534      0.0000    627.5369   -214.7572
           8      0.0017      0.0056     21.2060     32.8654      0.0000   4231.1387    -46.5465
           9      0.0081      0.0074      6.0905     77.0059      0.0000   1465.0545    -58.8429
          10      0.0072      0.0035      5.0820     15.7863      0.0000  10206.9546    -28.4535
          11      0.0032      0.0090     36.7129    103.0449      0.0000   7989.9879    -46.9902
          12      0.0085      0.0137    179.2771      2.2402      0.0000   4111.3793    -41.6537
          13      0.0056      0.0153    124.4406    296.7541      0.0000   8101.9480    -20.5033
          14      0.0040      0.0059     47.9411      2.7465      0.0000   5591.3895    -31.6875
          15      0.0102      0.0079     64.4952      0.2236      0.0000    144.8336    -57.2941
          16      0.0422      0.0319     42.8768     73.4084      0.0000    129.4978   -114.8495
          17      0.0052      0.0054    155.9726     61.9935      0.0000   9598.9996    -19.3878
          18      0.0079      0.0085     96.9368      0.9866      0.0000   5864.6205    -27.3523
          19      0.0179      0.0054    253.4003      6.6806      0.0000   2912.2623    -62.8634
          20      0.0088      0.0043      8.2997      3.9500      0.0000  10381.8495    -18.5550
          21      0.0045      0.0075     46.8643      9.4678      0.0000  10558.7688    -17.9177
          22      0.0091      0.0190    250.3810    316.1909      0.0000  10024.8620    -18.2298
          23      0.0070      0.0047     20.5604      3.5092      0.0000   4487.5506    -40.4223
          24      0.0097      0.0058    132.4942      1.1628      0.0000   3777.2215    -31.8684
          25      0.0122      0.0132      1.2231      0.0033      0.0000     56.9743   -112.0876
          26      0.0046      0.2153      0.0000      0.0000      0.0000   -269.4839   -114.5856
          27      0.0030      0.0069     10.4654     38.7971      0.0000   3459.2818    -35.0541
          28      0.0166      0.0072     13.0280      0.0015      0.0000   4169.8515    -35.5637
          29      0.0118      0.0060    274.6402     15.0960      0.0000   6255.2246    -78.4873
          30      0.0055      0.0477     16.8100      0.0424      0.0000      4.7784   -116.3246
          31         NaN         NaN      2.4101      0.0514      0.0000      0.7332    -81.6294
          32      0.0104      0.0120    318.3768    130.0942      0.0000   6508.5173    -34.1174
          33      0.0061      0.0075     24.4071      0.0086      0.0000     58.7572    -72.4371
          34      0.0096      0.0145     22.3508    171.2032      0.0000   3183.8426    -49.0939
          35      0.0114      0.0096    111.1722      0.0000      0.0000   1056.3070    -98.5314
          36      0.0219      0.0090      3.4299      0.0073      0.0000    235.2874    -71.7766
          37      0.0059      0.0158    142.1547     60.3368      0.0000  11094.4931    -16.4822
          38      0.0154      0.0047    341.3860     12.5591      0.0000  13092.4191    -12.3977
          39      0.0108      0.0036     50.9054      0.2986      0.0000   5999.3373    -47.2868
          40      0.0137      0.0124     73.8200      0.0899      0.0000    429.3810   -143.6230
          41      0.0164      0.0097      9.4775     46.1732      0.0000   8558.2995    -43.1009
          42      0.0024      0.0067     23.3686      0.0377      0.0000     15.0438    -70.4432
          43      0.0088      0.0075     65.1389      1.0011      0.0000   6684.6321    -50.7065
          44      0.0049      0.0078     17.3726    175.7946      0.0000   3730.6742    -47.1291
          45      0.0039      0.0068     41.8048      0.0019      0.0000   1907.7552    -31.1220
          46      0.0145      0.0212      7.7037    108.3621      0.0000   6356.9958    -43.6502
          47      0.0254      0.0199     12.0617      0.0000      0.0000    776.4113    -57.7725
          48      0.0135      0.0842      8.0148      0.0861      0.0000      8.2871   -110.2900
          49      0.0062      0.0040     90.9041      2.2012      0.0000   7491.5907    -69.0835
          50      0.0068      0.0193    112.2585      0.0044      0.0000   2054.4078    -80.4201
          51      0.0017      0.0030      4.9508      0.0570      0.0000      3.0066   -118.5735
          52      0.0083      0.0041     52.5395      7.3717      0.0000   8879.9802    -31.9287
          53      0.0212      0.0058    661.8004      4.9519      0.0000   7456.8838    -36.0434
          54      0.0066      0.0213      2.5981      0.0062      0.0000     86.0887   -156.5316
          55      0.0096      0.0088     19.8527      0.1744      0.0000   1531.3825    -67.5500
          56      0.0357      0.0649      0.0000      0.0000      0.0000   -430.1716    -79.2645
          57      0.0031      0.0050      0.8899      0.0001      0.0000      5.8741    -14.7815
          58      0.0089      0.0126     38.2662      0.5319      0.0000    994.2346    -33.8340
          59      0.0097      0.0094     45.0331      9.1428      0.0000   8905.9880    -41.5484
          60      0.0060      0.0198     19.1673    464.5084      0.0000  12054.5401    -16.9694
          61      0.0186      0.1857      0.0000      0.0000      0.0000  -5023.4276   -158.3056
          62      0.0104      0.0105     96.5592      8.2856      0.0000   9731.9426    -21.3724
          63      0.0411      0.2103      0.0000      0.0000      0.0000  -1354.3353   -165.6071
          64      0.0042      0.1365      0.0000      0.0000      0.0000  -1452.0045   -146.8507
          65         NaN         NaN      8.2870      0.6802      0.0000      0.5840   -119.6082
          66      0.0032      0.0122     94.1162      3.3850      0.0000   7307.5147    -16.3988
          67      0.0271      0.0171    456.1396    222.8642      0.0000   7168.1724    -27.6576
          68      0.0045      0.0061     18.5075      8.2604      0.0000   7848.0894    -43.3422
          69      0.0249      0.1583      0.0000      0.0000      0.0000   -172.4283   -198.1252
          70      0.0105      0.0158    106.6455      0.0003      0.0000    808.4867   -122.0884
          71      0.0133      0.0042     29.2215      0.1655      0.0000    128.0484    -90.9692
          72      0.0128      0.0090    107.1577      0.9587      0.0000   5298.5955    -34.7065
          73      0.0156      0.0075     26.6639      0.0182      0.0000    500.4486    -86.8479
          74      0.0228      0.0066    326.7329      1.7529      0.0000    345.3180    -91.2906
          75      0.0041      0.0072     19.6393     45.9116      0.0000   5964.2227    -29.3495
          76      0.0051      0.0199    197.3361      0.1016      0.0000   4659.9406    -38.8206
          77      0.0003      0.1258      0.0000      0.0000      0.0000 -48940.5838   -218.8123
          78      0.0051      0.0076      9.3195     37.3199      0.0000   6164.8977    -22.4668
          79         NaN         NaN      7.8309      0.1077      0.0000      5.8723   -117.5589
          80      0.0430      0.0065     33.3445      8.8289      0.0000     32.7386   -145.2043
          81      0.0056      0.0045     97.2315      0.6158      0.0000  10734.2607    -21.3132
          82      0.0043      0.1238      0.0000      0.0000      0.0000  -1658.9326   -153.0236
          83      0.0305      0.0041     18.1074      0.3255      0.0000   3079.9996   -113.6361
          84      0.0081      0.0086     96.6132      0.4867      0.0000   3914.3593    -66.3215
          85      0.0026      0.0129     71.3846     96.3722      0.0000   6451.1661    -40.2005
          86         NaN         NaN      6.0420      0.1299      0.0000      0.0000    -78.9518
          87      0.0234      0.0085    434.7273      2.2226      0.0000   2136.9780    -67.1443
          88      0.0037      0.0161    111.9707    271.6744      0.0000   8329.1416    -24.1572
          89      0.0198      0.0072     20.1957     10.8448      0.0000   5853.9171    -67.3978
          90      0.0126      0.0067     70.7602      0.6287      0.0000   1658.4417    -64.3620
          91      0.0279      0.0090    238.7081     20.1962      0.0000   1792.2027    -62.0909
          92      0.0111      0.0048      7.2968      4.2639      0.0000  10791.5556    -38.3586
          93         NaN         NaN      2.1003      0.1819      0.0000      0.0000   -202.7154
          94      0.0077      0.0135     50.5520      0.0007      0.0000    372.2530    -74.0002
          95      0.0040      0.0575      0.0000      0.0000      0.0000    -36.9318    -43.1716
          96      0.0251      0.0112    715.7686     10.1117      0.0000   5756.4586    -53.2425
          97      0.0047      0.0085     92.2669     52.8568      0.0000   5891.6248    -15.8470
          98      0.0145      0.0068    137.8550      0.8825      0.0000   4064.9597    -80.5129
          99      0.0091      0.0115     16.2011      9.4656      0.0000  10171.4184    -13.9886
         100      0.0220      0.0097    115.3313      7.1005      0.0000   1980.7718    -63.8020
         101      0.0084      0.0039    528.0736      1.4626      0.0000   9311.3778    -46.6259
         102      0.0088      0.3962      0.0000      0.0000      0.0000   -596.3711    -90.7210
         103      0.0067      0.0062     71.1323      0.0000      0.0000    600.2317   -161.9171
         104      0.0047      0.0096      2.6455      0.0007      0.0000     18.9343   -144.9277
         105      0.0204      0.0218    272.7692      0.2012      0.0000    508.7347   -130.7385
         106      0.0071      0.0132     32.5743      0.0035      0.0000     71.8811   -140.0500
         107      0.0096      0.0318    125.7310      0.0000      0.0000    193.2016    -91.4452
         108         NaN         NaN      7.5036      0.2675      0.0000      0.0000   -147.2599
         109      0.0040      0.0087     11.0165      0.0153      0.0000    524.7964    -75.6375
         110      0.0073      0.0048      2.3210      0.0542      0.0000     61.8635   -102.5852
         111      0.0662      0.0307     12.0847      0.0570      0.0000      6.1951    -90.6802
         112      0.0082      0.0090    165.4294      0.2025      0.0000   3842.1183    -41.4932
         113      0.0071      0.0116    144.5420      0.0041      0.0000   1432.4029    -48.0384
         114      0.0074      0.0052    249.9108     10.4010      0.0000   2699.4369   -104.3936
         115      0.0180      0.0134     47.3517      0.0478      0.0000    147.2380    -86.0545
         116      0.0079      0.0049     23.5435      0.0000      0.0000    124.8327   -136.3397
         117      0.0076      0.0203      5.8897      0.0751      0.0000     23.9451   -168.8567
         118      0.0183      0.0115     39.6086      0.0143      0.0000   2414.6292    -51.0379
         119      0.0165      0.0033      2.4748      5.8378      0.0000  10591.9887    -19.0738
         120         NaN         NaN      1.4856      0.2599      0.0000      0.0000   -154.8558
         121         NaN         NaN      5.4707      0.0599      0.0000      0.0000    -92.6934
         122      0.0058      0.0100    122.3222     53.0661      0.0000   5275.9811    -89.1874
